text,rating
kulu kulu,5
Terbaik,5
kenapa terjadi lagi saya tidak bisa mention orang ya?,1
mudah mudahan ada rezekiku buat biaya hidup,5
bagus,5
Ananias Simon Malakabu,5
ok,5
"aneh, tiap buka kolom jaringan malah keluar aplikasi terus.",1
I can't register always try again,2
"TERIMA KASIH, LinkedIn... nama ABDUL YASMIN, menjadi SOROTAN DUNIA...",5
"Google Payments Privacy Notice Last modified: 18 November 2024 The Google Privacy Policy describes how we treat personal information when you use Google products and services. If you are under the age of 18, you can find additional resources in the Google Teen Privacy Guide. Google Payments is offered to Google Account holders, and your use of it is subject to the Google Privacy Policy. In addition, this Privacy Notice describes Google privacy practices that are specific to Google Payments.",5
TIDAK BAGUS 👎🏻,1
semoga slalu sukses tambah canggih,3
kurangi iklan,5
excelent,5
tolong ajariysaya sampai jadi berpengalaman terimakasih,5
mantap aplikasi nya,5
keren,5
Semoga sukses tercapai bagi kita semua,5
"Akun saya tidak bisa login, sudah beberapa minggu semenjak habis post portofolio, sampai sekarang ""mari melakukan pemeriksaan keamanan cepat"".. faktanya sampai sekarang akun saya belum bisa log in... mohon bantuannya",2
ini aplikasi pencuri memotong saldo saya saya dari dana sebesar 600lebih,1
"kotak black screen terus kalo ganti sandi. ya harus mulai ulang lagi, dll",1
memuaskan,5
"menurut saya aplikasi LinKedln ini kedepan nya bisa terkoneksi dengan aplikasi what'sapp supaya mempermudah obrolan pencari kerja dengan pemberi kerja,tingkatkan fitur kedepannya supaya semakin banyak pengguna soalnya aplikasi ini udah bagus,baik,semoga semakin bagus aplikasi amin sukses terus kedepan nya aplikasi semakin maju",5
mantap,5
mempersiapkan memasak dan menyajikan makanan siap dimakan di depan tamu,5
aplikasi ini bagus & bermanfaat.,5
Good,3
bagus,4
"mau login sekarang kenapa susah sekali ya? trs ketika udah login apk nya lag parah, mohon untuk diperbaiki ya",1
aplikasi ini sangat membantu saya dan berguna,5
..😍😍😘😘😘,5
"ini platform dengan konsep keamanan paling tolol yang saya tau, bisa2nya akun baru dibuat bisa kena pembatasan permanen yang bikin saya harus verifikasi persona, padahal dipake aja belum. Ini namanya pemaksaan aja biar kalian punya data pribadi saya 😂 udah gitu mau verifikasi aja harus nunggu loading seabad sama menghadapi captcha paling tolol yang pernah ada 😂",1
Bahasa Indonesia Andi Mijriana Buat Gula Merah,5
akurasi pencari kerja top.,5
Oke,5
cuma jadi tempat pamer posisi dan curhat,1
aplikasi yang bagus,5
tolong ya dibantu untuk penutupan akun atau penghapusan akun sendiri kok sering lama loading dan tidak berfungsi dengan seharusnya... ini apa maksudnya ya?.. tolong dibantu saya mau hapus akun di linkendin kok susah sekali yang aplikasi lain bisa langsung dihapus kok ini linkedin susah sekali... terimakasih...,2
"ada notifikasi akun anda di nonaktifkan terus login ""mari lakukan pemeriksaan keamanan cepat"" lama banget udah satu jam ga muncul"" yang bener dong?",4
good saya sangat menyukai ini,5
amazing ❤❤❤,5
"verifikasi sangat susah untuk warga negara Indonesia yang tidak memiliki passport, sebaiknya cukup dengan KTP/SIM untuk verifikasi warga Indonesia",2
memang mantab,4
"Aplikasi ini sangat bagus, warna tampilannya sederhana tapi menarik. info yang disampaikan sangat berguna. apalagi bisa berkenalan dan bergabung dengan tim tim hebat dalam dan luar negeri. mungkin ada sedikit tambahannya pada aplikasi, bagaimana jika di setiap komentar, ada tombol terjemahan berbagai bahasa. sehingga lebih memudahkan bagi saya, yang hanya sedikit mengerti bahasa luar. mohon maaf, dan terima kasih , 🙏🙂",5
Aplikasi ini sangat membantu saya,5
aplikasi cocok buat sampingan ini,5
manusia👨,5
Bagus,5
okbos,5
keren media yang teranotasi dengan AI,5
mau login susah buffering terus padahal jaringan bagus,1
baguss,5
Good job,5
"terlalu merepotkan ,memaksa orang masuk LinkedIn,tapi respon tidak cepat.bikin susah dan habiskan waktu",2
aplikasi yang sangat membantu dalam koneksi baru dan bisnis baru,5
"aplikasi ini tidak terlalu bermanfaat bagi saya, ntah saya yang kurang bisa memahami cara penggunaan aplikasi ini atau aplikasi ini yang terlalu repot untuk digunakan, tetapi terkadang saya suka melihat-lihat pekerjaan yang ada di aplikasi ini, tetapi kebanyakan loker palsu, jadi saya putuskan untuk menghapus aplikasi ini, terimakasih LinkedIn.",3
usefull app,5
Sangat bermanfaat untuk menambah wawasan dan pengalaman.,5
bapak cari kerja,5
sangat membantu informasi pekerjaan yang kita cari,5
"aplikasi busuk Cok,mau verifikasi email aja susah banget",1
loading mulu padahal jaringan lancar di tungguin sejan ga kelar kelar,1
"apk ribet tolol sering gagal login, sering blokir"" akun kebanyakan aturan bagus nya kaga",1
1p6 2z,4
lumayanlah,5
okay,5
"pemeriksaan cepatnya berulang ulang terus, lodingnya lama, ga jelas nih apk",1
.mana Ari Rahayu,5
loginnya susah sekali sumpah bikin emosi. udah masukin nomor HP katanya nomor gak bisa dipakai. ganti nomor HP sampe 3 kali tetap saja gak bisa. pecahin teka teki yang udah pilih tapi dibilang kosong pilihan emang gilalah bikin badmood,1
kreeen abiss,5
"padahal jarang di buka tiba tiba akun kena batasan, mana verif nya ribet, udah dua kali verif masih kaga kebuka",1
logout tutup,3
aplikasinya bagus banget min bisa menjadi sampingan buat uang jajan pokoknya rekomen banget buat kerja sampingan apa lagi buat pelajar yang mau uang jajan tambahan,5
aplikasi ini sangat bagus,5
"jangan beri akses data pribadi saya ke orang lain , hapus semua bug yang masuk",1
kok saya gabisa upload ya?,1
"dengan adanya aplikasi linkedin,sangat membantu sekali para pencari loker",5
sanggat berguna,5
jelek banget dah mau verifikasi Identitas malah error di persona nya aneh aneh malah tiba tiba ke suspend sendiri padahal gak salah apa apa sumpah nih aneh banget dah. kadang loading sampe 1 abad dah di pemeriksaan nya,1
bveaqis,2
assalamualaikum,5
"akun saya sudah 3x di hack orang luar negeri, padahal akun sudah terverifikasi, terhubung dengan nomor handphone, email juga sudah menggunakan verifikasi",4
"aplikasi gajelas duit gue ketarik di dana 1,110.078",1
Good Goosss continue teransfaran for below alias ZAINI - MUHAMMAD ZAINI,5
good apps,5
Baik,5
uang saya di ambil apk ini,1
keamanannya kurang...!!! pas mereset kata sandi gak bisa di ganti malah kesalahan koneksi terus,1
lowongan yg uptodate,3
semoga informasi yang di berikan akurat dan memberikan manfaat pada penguna apk ini,5
ok,5
ga dpt kerja satt,1
"mau login aja harus pake ktp ini LinkedIn mau curi data orang ya lama ga online akun langsung hibernasi, emang memaksa pengguna selalu aktif. Tolol padahal nggak nyampe beberapa bulan",1
Ok,5
ok,5
Audah,5
teases mee to get the chance Iw,5
"tolong di perbaiki bug aplikasinya, udah lama banget bug nya ini, jadi bener-bener ga bisa di gunain",2
mempermudah perluasan relasi,5
worst apk,1
kok tidak bisa di hp ku,1
senang bisa tersambung dengan dunia profesional ke seluruh dunia. update pengetahuan dan dunia kerja.,5
baik Alhamdulillaah baarakallahu fiikum,5
"Aplikasi yang sangat membantu, banyak koneksi bisnis jadi lancar",5
"taiii anjimm, gw minta pulihin akun, ga di gubris gubris udh 2 mingguan lebih",1
"Gabisa masuk pas Captcha, padahal jawaban gambar sudah benar, dan berkali kali diulang",3
"suka banyak bug, tayangan profil ga naik, jumlah like konten ga naik, dan kalo udah di refresh malah munculnya ga update , udah ga update, mau cari loker suka ga naik kontennya, kurang bagus aplikasinya",1
ngga bisa masuk walau udah verifikasi,1
best,5
"aplikasi nyaa menguji kesabaran, udahh buat akun beberapa kali tapi setiap udah jadi pasti besoknya tiba tiba keluar sendiri huftt capee nyoo lama lamaa begini",4
luar biasa,5
"banyak orang flexing, pacarku cari kerja susah banget sebel deh apasih katanya 19jt pekerjaan?????",1
good,5
busett dah apk apa ini cok. mau daftar aja susah bgt. muter dikemananan. niat buat apk gak sih bug gini gak difiks. pdhl banyak yang ngeluh. udah tau susah nyari pekerjaan diindo ini ditambah apk nya gini mulu malah nambah stress. kenapa sih harus berharap mulu ama ginian mulu. kapan saya kekuar dari lingkaran setan ini.,1
mohon perbaiki setiap apply sesuai yang kita atur sebelumnya setelah apply mohon jangan direset ke yang terbaru lagi mohon kembalikan seperti yang lama untuk setting pencarian pekerjaan.,3
gajelas tot 👎🏿,1
"susah banget verifikasi banyak bug nya, aneh harusnya di permudah akses buat masuk nya",1
"Akun saya gatau ke hack atau gimana. Nomer hp berubah, dan gabisa login sama sekali.",1
"ini kenapa dah aku saya tiba-tiba di nonaktifkan, udah gitu buat di login muter muter mulu",4
Lampiran Perihal Dfhaljkl,4
Sejak mendaftar akun di aplikasi ini. Tidak ada yang mengecewakan. Berbagi ilmu dari sesama rekan se profesi menambah wawasan. Terima kasih. 😊,5
🎉🎉🎉,5
"aplikasi jelek, banyak bug",1
"tiap hari mau coba daftar ngk bisa, kata maaf mulu yg ada ""maaf terjadi kesalahan silahkan coba lagi"" tiap hari gw coba gitu mulu",1
mantap,5
mantap,5
"Ada LinkedIn Aku sudah dapat uang sekitar 497K, info chat saja ya ke alamatkehiduan guys",5
sangat baik,5
the app so slow to verify fasr security. it aint work at all when i forget my my password,1
Saya mau daftarkan akun malah gabisa terus?,1
waaaaoow asyik,5
"ini kenapa saya tidak bisa melihat hasil postingan dari kolom pencarian, tolong dibaca komen saya & tolong diperbaiki, jangan bikin susah orang!!!",1
aplikasi ini dapat saya sebut profesional yang dapat membangun kesadaran saya sebagai mahasiswa yang kreatif dan produktif,5
"aplikasi ga guna, tidak bisa daftar akun baru, udah tanya CS di website dan ig di lempar lempar masalahnya, bad pelayanan, bad aplikasi, bad semuanya",1
tbtb ada pembayaran otomatis 600rb,1
like,5
cari kerja mudah mudahan bisa bermanfaat,5
bagus,5
jlek tiba tiba di nonaktifkan ape,1
semangat,5
Mantap,5
saya gak bisa membuka akun saya,2
cerita yg bagus,5
sangat berguna,5
"verifikasi chaptha selalu diupang"" maksudnya apa min? benerin lagi lahh mempersulit aja",1
jelek banget susah login kyk babi,1
"BENAR BENAR BURUK APLIKASI INI, MAU LOGIN SAJA SUSAH DAN DIPERSULIT, SAAT BAGIAN ""PEMERIKSAAN KEAMANAN CEPAT"" TIDAK SESUAI TULISANNYA YANG CEPAT, ITU BENAR BENAR LAMBAN BAHKAN KONEKSI INTERNET DAN MEMORI SAYA LANCAR TIDAK ADA KENDALA INTERNAL PERANGKAT, JADI INI ADALAH MASALAH INTERNAL APLIKASI YANG ERROR, SAYA MENCOBA DIBERBAGAI PERANGKAT HASILNYA SAMA, KALO MEMANG TIDAK ADA PERUBAHAN DALAM WAKTU DEKAT BERARTI APLIKASI INI AKAN SAYA AJUKAN REPORT KE PIHAK PLAYSTORE, BENAR BENAR MENGECEWAKAN.",1
berbulan tidak bisa masuk aplikasi. perbaiki,3
Good dan dapat terhubung dengan para profesional,5
tambah bagus,5
tetap membantu bagi job seeker,5
mantap,5
linkedln sya bagus,3
stuppid,1
Linkedin sangat membantu dalam karir saya,5
"ga bisa login, verifikasi boot ga jelas",1
saat ini bekerja di bakrie contruction sebagai site manger di medco coridor,5
"mau masuk aja ga bisa, cuma sampe pemeriksaan cepat. Ga bener",1
OK,5
kok mangkin aneh,5
mantap,5
mantap,1
setelah diupdate malah makin bermasalah,1
oke sangat membantu,5
"aplikasi nya bagus, bisa membantu buat Menambah kan aktifitas kita, dan bisa menghasilkan",5
iklan terus di youtube,1
terkoneksi dg rekan lama,3
mentokkkkkk,1
login ae angel e minta ampun,1
ok,5
urg yang telah,3
ok,5
"pemeriksaan keamanan cepat nya gimana si, aneh banget gajelas",1
good,5
"tolong kembalikan uang saya, tiba2 ketarik otomatis di akun dana saya senilai 654.900, itu sepertinya tidak sengaja terpencet fitur langganannua, saya mohon sekali kembalikan uang saya, karna saya sangat membutuhkannya",1
aplikasi gilak cari uang yg halal jgn nipu,1
Tidak bisa di connect ke Duolingo,1
semoga bermanfaat untuk banyak orang,5
wow my account got restricted,1
"tolong perbaiki , Tidak bisa masuk akun saya punya akun LinkedIn , saya ganti HP baru dan saya coba masuk LinkedIn tidak bisa",1
good,5
good,5
saya kasih bintang full,5
bug update terus,3
good,5
"The application is very good, it keeps updating but the bugs are never fixed, so what's the point of updating continuously?",1
Top,5
gak bisa masuk hanya menunggu keamanan gitu,1
susah login nya,1
ipandi,5
kenapa pada takut coba🤣🤣,1
sangat membantu,5
kamu dari tahun 2023 kamu cantumkan Nama Muhammad Isro Noor dalam masih sedikit orang tidak masuk dalam perusahaan ini itu fakta,1
ok,5
sangat terbantu dengab adanaya aplikasi seperti LinkedIn,5
"apk nya periksa keamanan cepat , tapi nyatanya lambat",1
ok,5
amazing to have more excited story,5
ok,5
masuk susah masa akun data saya bisa kebobolan bagaikana sih linkeln,3
