text,rating,polarity_score,polarity
kulu kulu,5,0,neutral
terbaik,5,5,positive
mention orang ya,1,4,positive
mudah mudahan rezekiku biaya hidup,5,7,positive
bagus,5,2,positive
ananias simon malakabu,5,0,neutral
ok,5,4,positive
aneh buka kolom jaringan aplikasi,1,6,positive
i cant register always try again,2,0,neutral
terima kasih linkedin nama abdul yasmin sorotan dunia,5,5,positive
google payments privacy notice last modify november the google privacy policy describe how we treat personal information when you use google products and service if you be under the age of you can find additional resources in the google teen privacy guide google payments be offer to google account holders and your use of it be subject to the google privacy policy in addition this privacy notice describe google privacy practice that be specific to google payments,5,0,neutral
bagus,1,2,positive
semoga slalu sukses canggih,3,3,positive
kurangi iklan,5,0,neutral
excelent,5,0,neutral
tolong ajariysaya berpengalaman terimakasih,5,12,positive
mantap aplikasi nya,5,1,positive
keren,5,0,neutral
semoga sukses tercapai,5,6,positive
akun login minggu semenjak habis post portofolio mari pemeriksaan keamanan cepat faktanya akun log in mohon bantuannya,2,14,positive
aplikasi pencuri memotong saldo dana,1,-1,negative
kotak black screen kalo ganti sandi ya ulang dll,1,4,positive
memuaskan,5,5,positive
aplikasi linkedln kedepan nya terkoneksi aplikasi whatsapp mempermudah obrolan pencari kerja pemberi kerjatingkatkan fitur kedepannya pengguna aplikasi udah bagusbaiksemoga bagus aplikasi amin sukses kedepan nya aplikasi maju,5,-13,negative
mantap,5,5,positive
memasak menyajikan makanan dimakan tamu,5,-2,negative
aplikasi bagus bermanfaat,5,3,positive
good,3,5,positive
bagus,4,2,positive
login susah ya trs udah login apk nya lag parah mohon diperbaiki ya,1,2,positive
aplikasi membantu berguna,5,5,positive
,5,0,neutral
platform konsep keamanan tolol tau bisanya akun kena pembatasan permanen bikin verifikasi persona dipake aja namanya pemaksaan aja biar data pribadi udah gitu verifikasi aja nunggu load seabad menghadapi captcha tolol,1,-12,negative
bahasa indonesia andi mijriana gula merah,5,0,neutral
akurasi pencari kerja top,5,7,positive
oke,5,2,positive
pamer posisi curhat,1,-1,negative
aplikasi bagus,5,-2,negative
tolong ya dibantu penutupan akun penghapusan akun load berfungsi maksudnya ya tolong dibantu hapus akun linkendin susah aplikasi langsung dihapus linkedin susah terimakasih,2,7,positive
notifikasi akun nonaktifkan login mari lakukan pemeriksaan keamanan cepat banget udah jam ga muncul bener,4,12,positive
good menyukai,5,9,positive
amaze,5,0,neutral
verifikasi susah warga negara indonesia memiliki passport ktpsim verifikasi warga indonesia,2,-3,negative
mantab,4,0,neutral
aplikasi bagus warna tampilannya sederhana menarik info berguna berkenalan bergabung tim tim hebat negeri tambahannya aplikasi komentar tombol terjemahan bahasa memudahkan mengerti bahasa mohon maaf terima kasih,5,-4,negative
aplikasi membantu,5,0,neutral
aplikasi cocok sampingan,5,0,neutral
manusia,5,3,positive
bagus,5,2,positive
okbos,5,0,neutral
keren media teranotasi ai,5,0,neutral
login susah buffer jaringan bagus,1,2,positive
baguss,5,0,neutral
good job,5,5,positive
merepotkan memaksa orang masuk linkedintapi respon cepatbikin susah habiskan,2,-4,negative
aplikasi membantu koneksi bisnis,5,5,positive
aplikasi bermanfaat ntah memahami penggunaan aplikasi aplikasi repot terkadang suka melihatlihat pekerjaan aplikasi kebanyakan loker palsu putuskan menghapus aplikasi terimakasih linkedin,3,-4,negative
usefull app,5,0,neutral
bermanfaat menambah wawasan pengalaman,5,10,positive
cari kerja,5,-1,negative
membantu informasi pekerjaan cari,5,6,positive
aplikasi busuk cokmau verifikasi email aja susah banget,1,-10,negative
load mulu jaringan lancar tungguin sejan ga kelar kelar,1,15,positive
apk ribet tolol gagal login blokir akun kebanyakan aturan bagus nya kaga,1,-12,negative
p z,4,0,neutral
lumayanlah,5,0,neutral
okay,5,4,positive
pemeriksaan cepatnya berulang ulang lodingnya ga nih apk,1,0,neutral
ari rahayu,5,4,positive
loginnya susah sumpah bikin emosi udah masukin nomor hp nomor gak dipakai ganti nomor hp sampe kali gak pecahin teka teki udah pilih dibilang kosong pilihan emang gilalah bikin badmood,1,1,positive
kreeen abiss,5,0,neutral
jarang buka akun kena batasan verif nya ribet udah kali verif kaga kebuka,1,-1,negative
logout tutup,3,-2,negative
aplikasinya bagus banget min sampingan uang jajan pokoknya rekomen banget kerja sampingan pelajar uang jajan tambahan,5,9,positive
aplikasi bagus,5,-2,negative
akses data pribadi orang hapus bug masuk,1,-7,negative
gabisa upload ya,1,4,positive
aplikasi linkedinsangat membantu pencari loker,5,0,neutral
sanggat berguna,5,5,positive
jelek banget dah verifikasi identitas error persona nya aneh aneh suspend gak salah sumpah nih aneh banget dah kadang load sampe abad dah pemeriksaan nya,1,-6,negative
bveaqis,2,0,neutral
assalamualaikum,5,3,positive
akun x hack orang negeri akun terverifikasi terhubung nomor handphone email verifikasi,4,-4,negative
aplikasi gajelas duit gue ketarik dana,1,0,neutral
good goosss continue teransfaran for below alias zaini muhammad zaini,5,5,positive
good apps,5,5,positive
,5,0,neutral
uang ambil apk,1,-5,negative
keamanannya pas mereset sandi gak ganti kesalahan koneksi,1,3,positive
lowongan yg uptodate,3,0,neutral
semoga informasi akurat manfaat penguna apk,5,7,positive
ga dpt kerja satt,1,2,positive
login aja pake ktp linkedin curi data orang ya ga online akun langsung hibernasi emang memaksa pengguna aktif tolol nggak nyampe,1,-1,negative
ok,5,4,positive
audah,5,0,neutral
tease mee to get the chance iw,5,0,neutral
tolong perbaiki bug aplikasinya udah banget bug nya benerbener ga gunain,2,4,positive
mempermudah perluasan relasi,5,0,neutral
worst apk,1,0,neutral
hp ku,1,0,neutral
senang tersambung dunia profesional dunia update pengetahuan dunia kerja,5,14,positive
alhamdulillaah baarakallahu fiikum,5,0,neutral
aplikasi membantu koneksi bisnis lancar,5,9,positive
taiii anjimm gw pulihin akun ga gubris gubris udh mingguan,1,6,positive
gabisa masuk pas captcha gambar berkali kali diulang,3,2,positive
suka bug tayangan profil ga like konten ga kalo udah refresh munculnya ga update udah ga update cari loker suka ga kontennya bagus aplikasinya,1,7,positive
ngga masuk udah verifikasi,1,-5,negative
best,5,0,neutral
aplikasi nyaa menguji kesabaran udahh akun kali udah besoknya huftt capee nyoo lamaa,4,-4,negative
,5,0,neutral
orang flex pacarku cari kerja susah banget sebel deh apasih jt pekerjaan,1,-9,negative
good,5,5,positive
busett dah apk cok daftar aja susah bgt muter dikemananan niat apk gak sih bug gini gak difiks pdhl ngeluh udah tau susah nyari pekerjaan diindo ditambah apk nya gini mulu nambah stress sih berharap mulu ama ginian mulu kekuar lingkaran setan,1,-13,negative
mohon perbaiki apply sesuai atur apply mohon direset terbaru mohon kembalikan set pencarian pekerjaan,3,20,positive
gajelas tot,1,0,neutral
susah banget verifikasi bug nya aneh permudah akses masuk nya,1,1,positive
akun gatau hack gimana nomer hp berubah gabisa login,1,-5,negative
dah tibatiba nonaktifkan udah gitu login muter muter mulu,4,-1,negative
lampiran perihal dfhaljkl,4,0,neutral
mendaftar akun aplikasi mengecewakan berbagi ilmu rekan profesi menambah wawasan terima kasih,5,10,positive
,5,0,neutral
aplikasi jelek bug,1,-9,negative
coba daftar ngk maaf mulu yg maaf kesalahan silahkan coba gw coba gitu mulu,1,13,positive
linkedin uang k info chat ya alamatkehiduan guy,5,4,positive
,5,0,neutral
the app so slow to verify fasr security it aint work at all when i forget my my password,1,1,positive
daftarkan akun gabisa,1,0,neutral
waaaaoow asyik,5,0,neutral
hasil postingan kolom pencarian tolong dibaca komen tolong diperbaiki bikin susah orang,1,6,positive
aplikasi profesional membangun kesadaran mahasiswa kreatif produktif,5,2,positive
aplikasi ga daftar akun udah cs website ig lempar lempar bad pelayanan bad aplikasi bad,1,-16,negative
tbtb pembayaran otomatis rb,1,3,positive
like,5,0,neutral
cari kerja mudah mudahan bermanfaat,5,9,positive
jlek nonaktifkan ape,1,0,neutral
semangat,5,4,positive
mantap,5,5,positive
gak membuka akun,2,0,neutral
cerita yg bagus,5,4,positive
berguna,5,5,positive
verifikasi chaptha diupang maksudnya min benerin lahh mempersulit aja,1,0,neutral
jelek banget susah login kyk babi,1,-11,negative
buruk aplikasi login susah dipersulit pemeriksaan keamanan cepat sesuai tulisannya cepat lamban koneksi internet memori lancar kendala internal perangkat internal aplikasi error mencoba diberbagai perangkat hasilnya kalo perubahan aplikasi ajukan repoke playstore mengecewakan,1,-9,negative
berbulan masuk aplikasi perbaiki,3,-7,negative
good terhubung profesional,5,5,positive
bagus,5,2,positive
membantu job seeker,5,4,positive
linkedln sya bagus,3,2,positive
stuppid,1,0,neutral
linkedin membantu karir,5,4,positive
ga login verifikasi boot ga,1,0,neutral
bakrie contruction site manger medco coridor,5,0,neutral
masuk aja ga sampe pemeriksaan cepat ga bener,1,4,positive
ok,5,4,positive
mangkin aneh,5,4,positive
mantap,1,5,positive
diupdate bermasalah,1,0,neutral
oke membantu,5,6,positive
aplikasi nya bagus membantu menambah aktifitas menghasilkan,5,5,positive
iklan youtube,1,0,neutral
terkoneksi dg rekan,3,7,positive
mentokkkkkk,1,0,neutral
login ae angel e ampun,1,1,positive
urg,3,0,neutral
pemeriksaan keamanan cepat nya gimana si aneh banget gajelas,1,8,positive
tolong kembalikan uang ketarik otomatis akun dana senilai sengaja terpencet fitur langganannua mohon kembalikan uang karna membutuhkannya,1,10,positive
aplikasi gilak cari uang yg halal jgn nipu,1,-11,negative
connect duolingo,1,0,neutral
semoga bermanfaat orang,5,5,positive
wow my account get restrict,1,0,neutral
tolong perbaiki masuk akun akun linkedin ganti hp coba masuk linkedin,1,2,positive
kasih bintang full,5,2,positive
bug update,3,0,neutral
the application be very good it keep update but the bug be never fix so whats the point of update continuously,1,5,positive
top,5,5,positive
gak masuk menunggu keamanan gitu,1,-6,negative
susah login nya,1,-3,negative
ipandi,5,0,neutral
takut coba,1,3,positive
membantu,5,4,positive
cantumkan nama muhammad isro noor orang masuk perusahaan fakta,1,-3,negative
terbantu dengab adanaya aplikasi linkedin,5,-4,negative
apk nya periksa keamanan cepat lambat,1,-1,negative
amaze to have more excite story,5,0,neutral
masuk susah akun data kebobolan bagaikana sih linkeln,3,-9,negative
senang aplikasi berkoneksi profesional mencari pekerjaan kecewa postingan berkaitan pekerjaan linkedin kena shadow ban pertemanan dibatasi seminggu orang harap linkedin memperbaiki mengalami kejadian,4,13,positive
linkedin membantu skali,5,4,positive
gak masuk tolong perbaiki,1,0,neutral
aneh ga login lg,3,4,positive
aplikasi nya stres bikin akun gak login trs email nomor smaa kesalahan nama trs bikin akun ilang tolong kebijakan,1,-12,negative
kegunaan aplikasi,1,0,neutral
coba,4,2,positive
errorrrr muluu oyyy,1,0,neutral
linkedin membantu dunia profesional personal brand,5,5,positive
email mohon buka,5,5,positive
aplikasi gak berfaedah udh langganan nya mahal,1,5,positive
mantao,5,0,neutral
linkedin be truly one of the best platforms for professional network and career opportunities it make job search so much easier and more effective even across countries and continents a great tool for connect professionals worldwide,5,3,positive
loadingnya kali jam berhasil cape nunggu sumpah,1,3,positive
oke,5,2,positive
