text,rating,sentiment
keep update day day,3,Netral
w game,5,Positif
next time please make game fair side,1,Negatif
nice always rage,5,Positif
amaze im get email,5,Positif
amaze game,5,Positif
good stuff clash,5,Positif
clash awsome love pay stuff im best thxs super cell love op,5,Positif
game buggy wifi wait close app icon continue appear distract actual gameplay overall fun game buy supercell need fix fee things,1,Negatif
waste years money life game infest mega knight e golems fun play lower areas actually skill base put something back make elixir push,1,Negatif
ive spend nerve trophies,5,Positif
nice game,5,Positif
pw,4,Positif
best game ever,5,Positif
garbage pw unbalance game,1,Negatif
good gam try game,5,Positif
im beat everyone,5,Positif
players game bots account k trophies less year playtime bots sometimes pretty hard beat deck perfect counter mine dont get dont enough players didnt install play pvb,1,Negatif
go larrryyyyyyyy,5,Positif
addictive af,1,Negatif
soooo op,5,Positif
skibidi toilet,1,Negatif
tortagod,5,Positif
make alk day play,1,Negatif
really good,5,Positif
game pay win ngl company want money,1,Negatif
tuff,5,Positif
best mobile game,5,Positif
reason dev camera cutout variant somehow cover gold pretty inconvenience play,5,Positif
better think,5,Positif
pekka,5,Positif
couldnt stop gooning,1,Negatif
good,1,Negatif
like way chests work monetization horrendous place game advertize free things free cost money thats free,3,Netral
djurrrr,5,Positif
ts game fire,5,Positif
good game like mega knight,5,Positif
waste,1,Negatif
luc clash buff megaknight,5,Positif
easy,1,Negatif
like art style fun play plus sound effect r rad,5,Positif
good game,4,Positif
fire,5,Positif
cant hear anything reason try turn sound everything work,1,Negatif
ive play clash royals week first days push k trophies straight get way harder get arena overall still fun strategic really like give legendary card technically free like inferno dragon purple gem thing royal ghost use grind brawl star quit k trophies feel like way fun game especially much strategy need actually win,5,Positif
really fun competive game,5,Positif
amaze really fun,5,Positif
meow,5,Positif
credit card cycle,1,Negatif
best game,5,Positif
really good game love clash,5,Positif
kess ekht hak lobe,1,Negatif
best game ever,5,Positif
cool game,5,Positif
level mega k night arena crazy,2,Negatif
supercell earn every ounce contempt community clash royale betray loyal players waste time money spend thousands reach top yet im overleveled still crush break mechanics rig matchmaking pay nothing skill mean nothing every update ruin balance even game feed frustration spit players keep alive,1,Negatif
good slow name drake baby oil btw im,5,Positif
play almost year acount suddenly restart tutorial acc idk,2,Negatif
thatd clash,4,Positif
good,5,Positif
game trash game die long ago care squeeze money monetization balance garbage evo card pay wall dont install let game die better things life,1,Negatif
terrible balance deck decade everything consistently go price reward get worse play game dont already years sink,1,Negatif
fun,5,Positif
awesome,5,Positif
fix skill base matchmaking nobody play game fix skill base matchmaking,1,Negatif
game scary get tilt get nightmares hear megaknwhenever sleep play boss bandit friends im lonely star,5,Positif
good game,5,Positif
best game ever,5,Positif
game horrible new non toxic community completely false everyone super toxic,1,Negatif
im good game cant even beat,5,Positif
game suck people rich play pay win,1,Negatif
se volvió muy pay win llevo años jugando pero ya cansa este abuso,1,Negatif
clash royale classic,5,Positif
game awful play day everyday,5,Positif
life clash royal,5,Positif
nice game ever,5,Positif
pay win,1,Negatif
kill game,1,Negatif
best mobile game period,5,Positif
dont like fact ask update app every weeks something annoy wouldnt recommend,1,Negatif
nice,5,Positif
love recommend make mad much almost crack phone half,5,Positif
lose acount arena nine cant get back,1,Negatif
game difficult also fun make smile every time win round,5,Positif
ruin game use worth grind complete joke literally never max account without spend thousands dollars shame also introduce ai bots even highest level trophies currently k facilitate darkpattern bias algorithm design make sure win rate stay around game truly worth anyones time anymore unless enjoy pay month unlock paywalled powercrept mechanics huge l,1,Negatif
u wan na fun game last even look trust get past hog mountain do horrid,1,Negatif
mental problems,1,Negatif
high pace strategic overall really like,5,Positif
good graphics fun,5,Positif
good game pw,5,Positif
mwah pure perfection bahlright let play clash royale,5,Positif
game lowkey better expect pls play yap abt new addition,5,Positif
skarmy,5,Positif
horrible everyones unskilled super pw fp player awful impossible,2,Negatif
clash,5,Positif
pay win,1,Negatif
game awesome one favorite mobile game ive ever issue game cost dollars break phone time,5,Positif
pay win get way rage induce,1,Negatif
horrible pay win,1,Negatif
addictive good way,5,Positif
fun game play friends,5,Positif
hard noobs,3,Netral
pay win slop shame idea great never underleved free play player supercell fix game matchmaking least,1,Negatif
jogo é inspirado em jogos de aposta foi feito para literalmente viciar crianças que jogam são crianças mano quer estragar futuro próprio planeta só para enriquecer bolso,1,Negatif
fireeeeeeballllllll,5,Positif
great thats clash,5,Positif
relly grate boys play together crib really grate,5,Positif
friggen rad bro,5,Positif
perfection,5,Positif
cuz ask,3,Netral
remove minions,1,Negatif
fun game ads challenge game,5,Positif
fun,5,Positif
ts gassss,5,Positif
exceptional,4,Positif
game change years yes better surely supercell yet another major moneyhungry serviceslashing corporation hellbent worsen bastardise game increase profit yup say still find profound unadulterated pleasure play game milligrams high quality r isomer ketamine highly recommend aficionados look playful quiet way spend nighthigh,4,Positif
great fun definitely recommend,5,Positif
holy heck game pc crash every time legit unplayable theres update keep try update error error delete game try reinstall error error cant even install game anymore either,1,Negatif
much pay win rate old clash royale better,1,Negatif
lag bad,1,Negatif
really good computer,5,Positif
love game keep work,5,Positif
chicken,5,Positif
good,5,Positif
mid ladder demon,5,Positif
love clash royale,5,Positif
people keep spamming toxic emote get ta add report soon possible,1,Negatif
perfect,5,Positif
frogitty,1,Negatif
good,5,Positif
wouid rather solo que siege iykyk,1,Negatif
trash game,1,Negatif
w game ballright,5,Positif
matchmaking god awfull either bot someone double playtime,3,Netral
best interms polishness gameplay see low quality ui latest update literally break nostalgia reason clash royale first place battle tab uiux literally suck,1,Negatif
pankakes,5,Positif
beat game,5,Positif
clash,5,Positif
meh,1,Negatif
yeahhh hoy ya,5,Positif
jynxzi goated,5,Positif
love pay win im k pay win would take years get,5,Positif
terrible,1,Negatif
peak,4,Positif
w game,5,Positif
hate mk im do play game,1,Negatif
great,5,Positif
giant big,5,Positif
