text,rating
bagus,5
tor monitor ketua,5
bagus cuy,5
mahal njeng,1
bagushanya iklan,4
akun mahasiswa ga acc,3
kebanyakan premium nya,2
seru bgt dengerin lagu pas lirik nya suka muncul suka engga kalo ad pas pencet gk ad tulisan nya tp gpp tetep enak dengerin,4
iklan nya banget dengerin lagu langsung iklan,1
dpt email dr google invoice rb pmbyrn spotify sy cek no yg jd pembyrn yg rb sisa rb sekian brp tuh yg nominal yg hilang cantumkan invoice aneh gak pejabat gak swasta aja gak transparant,1
qualitas music ok bagus lengkap,5
kayak gini gaperlu habisin kuota tiktok youtubetapi premium nya bayar,5
bagus musiknya,5
,5
asik,5
lagu jaman skrg update trs,5
muter musik diluar playlist sih jdi playlist capek kalo muternya rendom lagu aja,1
ngebet bnget ya pengen org beli premium sya dngerin musik dengerin iklan nih milih lagu aja batesin bjir,3
spotify tolong deh kasih jarak iklannya mikir tau aplikasi bebas ngasih jarak iklan ngotak gak ganti lagu langsung iklan sih gak keganggu ya mikir cuman x doang iklannya kayak gini eh ngelunjak lagu langsung iklan capek banget tau gak nyantai dengerin musik iklan gak skip tolong banget ya mentangmentang gak premium iklannya ditumpuk,1
baguss banget deh spotify besttt,5
apk serasa berat,1
jelek,1
pengalaman bakat menyanyi,5
iklannya x wkwk ga iklan,1
buset,4
bagus,5
enak mendengarkan lagu,5
harga premium mahal,4
sk aplijazi sesuai dgn,4
bagus si tpi banyakkkkkkk iklannya kurangin gk,4
cool,5
lagunya bagus menarik dengar,5
baguss,5
suka banget lagu nya,5
bagus,4
bagussssaa,5
ok,4
zionis,1
kurangi durasi unskipble add tambahkan lirik lagu yg lirik lagu yg dulunya lirik lirik,1
iklan nya,1
nice,5
iklan nya ngelunjak lagu bru iklan maksa bgt nyuruh premium,2
pengguna spotify mod uang berlangganan perbulannya maafkan curang,5
ok denger musik,5
putar lagu playist langsung pindah lagu playist tolong putar sesuai urutan dikasih pro gk enjoy,4
no comment ni apk bgs bgt dgrin lagu,5
good,5
seru bangett lagu favorit ku spotify,5
,5
bagus tidur mendengarkan spotify,5
seru mendengar lagu,5
spotify be ma mate,5
uda bagus si iklan nya banget yg premium mahal,5
keren banget,5
bagus dengarin lagu,5
ok,5
wow mantap,5
suka spotify teman nyetir teman nongkrong teman disaat galau kembangkan ya ayo cobain spotify skrg,5
dikasih playlis yg gak dindenger,1
plis kasih gw premium gratis minn,5
