text,rating
bagus,5
tor monitor ketua,5
Bagus cuy,5
mahal njeng,1
"bagus,,hanya ada iklan",4
akun mahasiswa saya ga di acc...,3
kebanyakan premium nya,2
seru bgt buat dengerin lagu paling pas bagian lirik nya suka muncul suka engga itu pun kalo ad pas di pencet GK ad tulisan nya tp gpp tetep enak kok buat di dengerin 🥳,4
"iklan nya banyak banget, baru dengerin 2 lagu, langsung iklan, mana ada 3 lagi😭",1
"dpt email dr google invoice sebesar 65 rb pmbyrn spotify, dan sy cek no yg jd pembyrn yg awalnya 85rb menjadi sisa 7rb sekian, nah brp tuh yg nominal yg hilang tidak di cantumkan di invoice.. aneh.. gak pejabat gak swasta sama aja gak transparant..",1
Qualitas music ok baik bagus lengkap,5
"kayak gini kan aku gaperlu habisin banyak kuota ke tiktok atau ke YouTube,tapi premium nya harus bayar",5
bagus musiknya,5
😉👍👍👍👍👍👍,5
asik,5
lagu jaman dulu sampai skrg update trs🤩,5
"kenapa selalu muter musik diluar playlist sih, jdi buat apa buat playlist capek"" kalo muternya rendom lagu aja.",1
"ngebet bnget ya pengen org² beli premium, ini sya dngerin musik atau dengerin iklan nih, milih lagu aja di batesin bjir😅",3
"Spotify tolong deh, kasih jarak buat iklannya. mikir lah, aku tau ini aplikasi kalian dan kalian bebas ngasih jarak Iklan tapi ngotak juga lah, gak setiap ganti lagu langsung iklan juga. awalnya sih gak keganggu ya, soalnya mikir paling cuman 1-2x doang iklannya kayak gini tapi eh... ngelunjak, baru satu lagu langsung iklan lagi. capek banget tau gak, mau nyantai dengerin musik malah ada 3 iklan yang gak bisa di skip. tolong banget lah ya, mentang-mentang aku gak premium iklannya ditumpuk semua☺",1
baguss banget deh spotify besttt,5
akhir akhir ini apk ini serasa terlalu berat,1
jelek,1
pengalaman saya adalah saya mempunyai bakat menyanyi,5
iklannya 3x? wkwk kenapa ga sekalian 10 iklan.,1
tapi buset,4
bagus sekali,5
enak sekali mendengarkan lagu di sini,5
harga premium mahal,4
Aku sk aplijazi ini sesuai dgn keinginan kita,4
bagus si tpi terlalu banyakkkkkkk iklannya bisa kurangin gk,4
cool,5
lagunya Yang sangat bagus Dan menarik untuk Di dengar,5
baguss,5
SUKA BANGET LAGU NYA,5
bagus,4
sangat bagussssaa,5
ok,4
zionis,1
kurangi durasi unskipble add dan tambahkan lirik pada lagu yg tidak mempunyai lirik dan juga ada banyak lagu yg dulunya mempunyai lirik sekarang tidak punya lirik,1
iklan nya makin banyak dan panjang²,1
nice,5
